Bed,Size,est,l95,u95
EK1,small,2186,1343,4604
EK1,large,1257860,1069258,1797969
EK1,all,1260046,1069874,1782844
KAMN,small,11827,9067,20026
KAMN,large,995166,886516,1347999
KAMN,all,1006994,885945,1358651
KAMS,small,77464,60470,133766
KAMS,large,21507,16251,40848
KAMS,all,98972,77523,167448
KSH1,small,1580788,1268319,2462304
KSH1,large,2688396,2456595,3306630
KSH1,all,4269184,3852921,5677844
YAK1,small,240919,192861,381186
YAK1,large,2146914,1900479,2816036
YAK1,all,2387833,2117090,3178694
YAK2,small,516360,447783,691301
YAK2,large,3246553,2942276,4053558
YAK2,all,3762913,3491397,4593677
YAK3,small,215219,189220,292048
YAK3,large,2549329,2266430,3324882
YAK3,all,2764548,2462089,3555791
