Bed,0,1,2,3,N
EK1,5.6,0,0,0,233
EK1,0,46.8,0,0,233
EK1,0,0,47.6,0,233
KAMN,0,49.5,0,0,188
KAMN,0,0,50.5,0,188
KAMS,0,50,50,0,32
KSH1,0.2,0,0,0,462
KSH1,0,46.1,0,0,462
KSH1,0,0,53.7,0,462
YAK1,0,49.4,0,0,180
YAK1,0,0,50.6,0,180
YAK2,2.1,0,0,0,235
YAK2,0,45.5,0,0,235
YAK2,0,0,52.3,0,235
YAK3,0,0,0,0.2,413
YAK3,1.2,0,0,0,413
YAK3,0,0,46,0,413
YAK3,0,52.5,0,0,413
