Bed,Size,est,l95,u95
EK1,small,33748,23521,63494
EK1,large,2147116,1816381,3250890
EK1,all,2180864,1843221,3231372
KAMN,small,229751,175040,414222
KAMN,large,906049,787105,1225449
KAMN,all,1135799,1007201,1522618
KAMS,small,1224157,936814,2007201
KAMS,large,89935,59974,175176
KAMS,all,1314092,1044795,2253209
KSH1,small,17843824,14646955,26467243
KSH1,large,5048284,4565550,6402174
KSH1,all,22892107,19646267,32410865
YAK1,small,4604656,3184608,8511895
YAK1,large,4822905,4168118,6449288
YAK1,all,9427561,7748376,14401564
YAK2,small,6059958,5569554,7530848
YAK2,large,8241277,7556795,10415236
YAK2,all,14301235,13374312,17154300
YAK3,small,3914035,3053951,6509054
YAK3,large,6267500,5582697,8452805
YAK3,all,10181535,8827498,14517755
