Bed,area_nm2,grids,tows
EK1,89.11,88,29
KSH1,145.92,139,50
YAK1,52.31,52,18
YAK2,78.58,78,24
YAK3,167.46,165,54
KAMN,90.21,88,30
KAMS,68.03,66,22
