Bed,tows,est,se,cv,l95,u95
EK1,29,118195,26678,0.2257078317781769,28146,531065
KAMN,30,81262,12670,0.15591172037475542,34508,259522
KAMS,22,3640,921,0.25296337549608133,1673,15187
KSH1,50,202576,53291,0.2630685629329425,88981,758006
YAK1,18,193130,43672,0.22612928784744007,56671,492378
YAK2,24,284047,45527,0.16027921148092825,145130,728393
YAK3,54,246368,50231,0.20388426651521271,39171,1025639
