Bed,area.nm2,stations
EK1,89.11,88
KSH1,181.63,173
KSH2,21.15,20
KSH3,8.49,8
WK1,48.66,48
YAK1,52.31,52
YAK2,78.58,78
YAK3,167.46,165
YAK4,127.51,124
YAK5,54.86,53
YAK6D,70.2,67
YAK6Y,18.77,18
YAKB,33.36,33
KNE1,35.18,33
KNE2,45.61,42
KNE3,116.73,107
KNE4,16.42,15
KNE5,22.03,20
KNE6,27.48,25
