Bed,tows,est,se,cv,l95,u95
EK1,26,108904,33107,0.3039967852298868,26641,793473
KSH1,56,190626,33542,0.1759583300220305,55308,601533
KSH2,7,5739,2191,0.3817944257213624,903,14291
KSH3,2,4193,3805,0.9074768330612457,416,7970
WK1,16,150370,62226,0.4138170310587969,9831,684351
