Bed,N,0%,1-24%,25-49%,50-74%,75-100%
EK1,215,66.5,33,0,0.5,0
KSH1,689,86.8,12.5,0.4,0.3,0
KSH2,92,72,25.8,1.1,0,0
KSH3,21,47.6,38.1,9.5,4.8,0
WK1,189,88.4,11.6,0,0,0
