Bed,N,Immature,Empty,Init. Recovery,Filling,Full,Unknown
EK1,216,1.4,0.9,8.8,74.1,14.8,0
KSH1,689,33.7,0.7,35.1,21.2,4.5,4.8
KSH2,93,32.3,0,20.4,2.2,0,45.2
KSH3,21,9.5,0,23.8,0,0,66.7
WK1,189,24.3,2.6,4.8,67.7,0.5,0
