Bed,Size,est,l95,u95
EK1,small,8445,2005,23057
EK1,large,1454437,1176734,2222309
EK1,all,1462881,1196374,2327481
KSH1,small,153082,126076,236456
KSH1,large,1969216,1798943,2561184
KSH1,all,2122297,1930512,2688735
KSH2,small,49143,36750,91534
KSH2,large,55764,38364,101773
KSH2,all,104907,74655,186923
KSH3,small,5934,0,11867
KSH3,large,46479,46479,89484
KSH3,all,52412,52412,101351
WK1,small,126633,83973,243506
WK1,large,1846509,1328016,3268943
WK1,all,1973142,1455506,3491777
