Bed,area_nm2,grids,tows
KSH1,145.92,139,57
KSH2,21.15,20,6
YAKB,33.36,33,11
YAK1,52.31,52,17
YAK2,78.58,78,27
YAK4,127.51,124,38
YAK5,54.86,53,14
KNE2,121.24,112,14
KNE3,116.73,107,34
KNE6,27.48,25,8
