Bed,Size,est,l95,u95
KNE2,small,1082956,837525,1833738
KNE2,large,940369,602016,1878992
KNE2,all,2023325,1622184,3290776
KNE3,small,15224567,9280009,34070103
KNE3,large,119698,98750,189119
KNE3,all,15344265,9500945,33961213
KNE6,small,1345841,1004890,2198871
KNE6,large,602886,481461,907781
KNE6,all,1948727,1531187,3044098
KSH1,small,9311076,7273175,15564430
KSH1,large,2625929,2388644,3379668
KSH1,all,11937005,9806220,18483475
KSH2,small,495041,361395,876943
KSH2,large,233172,159365,437727
KSH2,all,728213,543928,1246885
YAK1,small,1824313,1351939,3077971
YAK1,large,5172358,4373038,7471377
YAK1,all,6996672,5876714,10595653
YAK2,small,5306933,4211089,8140601
YAK2,large,8012893,7003751,10733136
YAK2,all,13319827,12024887,17282947
YAK4,small,3593513,2948620,5879756
YAK4,large,5611232,5024991,7379489
YAK4,all,9204745,8279152,11740199
YAK5,small,1344353,824631,2694649
YAK5,large,3523412,2858623,5503237
YAK5,all,4867766,4020847,7245448
YAKB,small,12337,10097,19266
YAKB,large,353307,314001,459568
YAKB,all,365644,325338,476672
