tow_id,size,sh,rwt_lb,mwt_lb,sex,weak,gonad,worm,mud
2017D06001,large,169,0.97444204,0.10802638,2,0,3,0,0
2017D06001,large,167,0.97444204,0.10141252,2,1,3,1,0
2017D06001,large,166,0.88405262,0.08157094,1,1,3,0,0
2017D06001,large,163,0.80689092,0.08818480000000001,2,0,4,0,0
2017D06001,large,123,0.35714844,0.03968316,2,0,4,0,0
2017D06001,large,158,0.7319338400000001,0.08818480000000001,2,0,4,0,0
2017D06001,large,161,0.89728034,0.08818480000000001,2,0,4,0,0
2017D06001,large,169,0.60186126,0.04850164,2,0,3,0,0
2017D06001,large,123,0.3637623,0.0330693,1,0,4,0,0
2017D06001,large,127,0.3858085,0.03086468,1,0,3,0,0
2017D06001,small,86,NA,NA,2,0,3,0,0
2017D06001,small,76,NA,NA,2,0,3,0,0
2017D06001,small,79,NA,NA,2,0,4,0,0
2017D06001,small,73,NA,NA,1,0,3,0,0
2017D06001,small,53,NA,NA,1,0,3,0,0
2017D06001,small,49,NA,NA,0,0,0,0,0
2017D06001,small,51,NA,NA,0,0,0,0,0
2017D06001,small,48,NA,NA,0,0,0,0,0
2017D06001,small,47,NA,NA,0,0,0,0,0
2017D06001,small,34,NA,NA,0,0,0,0,0
2017D06002,large,180,0.60186126,0.08377556,2,0,4,1,0
2017D06002,large,169,0.77382162,0.07275246,2,1,3,0,0
2017D06002,large,164,0.85318794,0.09038942,2,0,4,1,0
2017D06002,large,156,0.75177542,0.07054784,1,0,4,0,0
2017D06002,large,168,0.98766976,0.09700328,1,0,4,0,0
2017D06002,large,164,0.85098332,0.08598018,2,0,4,0,0
2017D06002,large,161,0.65256752,0.07054784,2,0,4,0,0
2017D06002,large,116,0.31526066,0.0330693,2,0,4,1,0
2017D06002,large,170,1.00530672,0.110231,2,0,4,1,0
2017D06002,large,165,0.79586782,0.0771617,1,0,4,0,0
2017D06002,small,43,NA,NA,0,0,0,0,0
2017D06002,small,47,NA,NA,0,0,0,0,0
2017D06002,small,38,NA,NA,0,0,0,0,0
2017D06002,small,38,NA,NA,0,0,0,0,0
2017D06002,small,45,NA,NA,0,0,0,0,0
2017D06002,small,43,NA,NA,0,0,0,0,0
2017D06002,small,45,NA,NA,0,0,0,0,0
2017D06002,small,49,NA,NA,0,0,0,0,0
2017D06004,large,150,0.566807802,0.07936632,2,0,4,0,0
2017D06004,large,166,0.99869286,0.09700328,1,1,4,0,0
2017D06004,large,167,0.992079,0.08818480000000001,1,0,4,0,0
2017D06004,large,140,0.44533324,0.06834322,2,0,4,0,0
2017D06004,large,155,0.8862572400000001,0.08598018,1,0,4,0,0
2017D06004,large,145,0.771617,0.0661386,2,0,4,0,0
2017D06004,large,156,0.79586782,0.0771617,1,0,4,0,0
2017D06004,large,109,0.26234978,0.02866006,2,0,3,0,0
2017D06004,large,152,0.66579524,0.0771617,1,0,4,0,0
2017D06004,large,131,0.37037616,0.05070626,1,0,4,0,0
2017D06004,small,56,NA,NA,0,0,0,0,0
2017D06004,small,54,NA,NA,0,0,0,0,0
2017D06004,small,56,NA,NA,0,0,0,0,0
2017D06004,small,56,NA,NA,0,0,0,0,0
2017D06004,small,53,NA,NA,0,0,0,0,0
2017D06004,small,57,NA,NA,0,0,0,0,0
2017D06004,small,55,NA,NA,0,0,0,0,0
2017D06004,small,54,NA,NA,0,0,0,0,0
2017D06004,small,56,NA,NA,0,0,0,0,0
2017D06004,small,58,NA,NA,0,0,0,0,0
2017D06005,large,160,0.63713518,0.08598018,2,0,3,1,0
2017D06005,large,155,0.61508898,0.06172936,2,0,3,0,0
2017D06005,large,111,0.24030358,0.02645544,1,0,4,0,0
2017D06005,large,138,0.50926722,0.0661386,1,0,4,0,0
2017D06005,large,168,0.8157094,0.08157094,1,0,4,0,0
2017D06005,small,79,NA,NA,2,0,3,0,0
2017D06005,small,61,NA,NA,0,0,5,0,0
2017D06005,small,64,NA,NA,0,0,0,0,0
2017D06005,small,40,NA,NA,0,0,0,0,0
2017D06006,large,171,1.22797334,0.13448182,1,0,4,1,0
2017D06006,large,126,0.4078547,0.044092400000000004,2,0,4,0,0
2017D06006,large,120,0.38139926,0.04850164,1,0,4,0,0
2017D06006,large,111,0.330693,0.02866006,2,0,4,0,0
2017D06006,large,104,0.23809896,0.02645544,2,0,4,0,0
2017D06006,large,104,0.23368972,0.022046200000000002,1,0,4,0,0
2017D06006,large,100,0.24030358,0.022046200000000002,1,0,4,0,0
2017D06006,large,100,0.220462,0.022046200000000002,2,0,4,0,0
2017D06006,large,101,0.22266662,0.022046200000000002,1,0,4,0,0
2017D06006,large,105,0.26234978,0.03086468,1,0,4,0,0
2017D06006,small,104,NA,NA,1,0,4,0,0
2017D06006,small,71,NA,NA,2,0,3,0,0
2017D06006,small,70,NA,NA,1,0,3,0,0
2017D06006,small,19,NA,NA,0,0,0,0,0
2017D06006,small,16,NA,NA,0,0,0,0,0
2017D06006,small,20,NA,NA,0,0,0,0,0
2017D06006,small,20,NA,NA,0,0,0,0,0
2017D06006,small,23,NA,NA,0,0,0,0,0
2017D06006,small,20,NA,NA,0,0,0,0,0
