Bed,N,0%,1-24%,25-49%,50-74%,75-100%
KNE2,130,98.5,1.5,0,0,0
KNE3,214,99.1,0.9,0,0,0
KNE6,113,99.1,0.9,0,0,0
KSH1,734,91,8.4,0.4,0.1,0
KSH2,71,98.6,1.4,0,0,0
YAK1,287,100,0,0,0,0
YAK2,510,100,0,0,0,0
YAK4,589,99.3,0.5,0.2,0,0
YAK5,239,100,0,0,0,0
YAKB,100,100,0,0,0,0
