Bed,Size,est,l95,u95
KNE2,small,51551,38710,85616
KNE2,large,496102,337246,936181
KNE2,all,547653,382897,1002576
KNE3,small,223821,150420,464100
KNE3,large,65199,54524,97070
KNE3,all,289020,202756,533015
KNE6,small,87305,65512,150205
KNE6,large,264220,219509,388500
KNE6,all,351525,285171,523532
KSH1,small,456629,385441,686798
KSH1,large,1527954,1374057,1947657
KSH1,all,1984583,1798275,2489542
KSH2,small,48371,31767,92716
KSH2,large,83343,55806,145441
KSH2,all,131714,95310,238311
YAK1,small,101341,81685,164958
YAK1,large,1954200,1695581,2757007
YAK1,all,2055542,1784362,2883974
YAK2,small,416608,320015,731818
YAK2,large,3227267,2848766,4326379
YAK2,all,3643876,3228589,4701145
YAK4,small,359768,304494,504476
YAK4,large,1789157,1609524,2357991
YAK4,all,2148925,1954782,2748384
YAK5,small,93961,76342,144698
YAK5,large,1193723,963464,1827899
YAK5,all,1287684,1047271,1960301
YAKB,small,1091,826,1889
YAKB,large,231065,205161,304355
YAKB,all,232155,206354,313082
