Bed,0,1,2,3,N
KNE2,0,45.3,0,0,53
KNE2,0,0,54.7,0,53
KNE3,4,0,0,0,50
KNE3,0,38,0,0,50
KNE3,0,0,58,0,50
KNE6,0,28.3,0,0,60
KNE6,0,0,71.7,0,60
KSH1,0,0,47.6,0,359
KSH1,0,52.4,0,0,359
KSH2,0,0,33.3,0,30
KSH2,0,66.7,0,0,30
YAK1,0,48.5,0,0,169
YAK1,0,0,51.5,0,169
YAK2,0,0,49.8,0,249
YAK2,0,50.2,0,0,249
YAK4,0,0,0,0.3,335
YAK4,0,0,49.3,0,335
YAK4,0,50.4,0,0,335
YAK5,0,43.6,0,0,140
YAK5,0,0,56.4,0,140
YAKB,0,40,0,0,95
YAKB,0,0,60,0,95
