Bed,tows,est,se,cv,l95,u95
KNE2,14,118830,35131,0.2956421745759831,21114,338848
KNE3,34,15592,1826,0.11710452824207447,7151,34080
KNE6,8,45617,8432,0.18484933137815443,29818,71597
KSH1,57,197096,31944,0.16207365713276062,65145,566723
KSH2,6,17884,2171,0.1213728434252808,15197,21662
YAK1,17,186108,45443,0.2441766900234711,58887,539393
YAK2,27,277820,53048,0.19094324785205335,71709,1037922
YAK4,38,195578,33014,0.16880127970417208,55325,676103
YAK5,14,114319,33443,0.2925380256402033,32245,416347
YAKB,11,16688,2460,0.14743664698035205,11263,30740
