shell_id,tow,samp_grp,rcode,shell_num,whole_wt,sex,gonad,meat_condition,size,mud_blister,shell_worm,damage,shell_retained,meat_weight,samptime
14,19010001,1,74120,1,116,1,3,0,113.00,0,0,0,1,9,2019-05-05 11:44:11
15,19010001,1,74120,2,99,1,3,0,109.00,0,0,0,1,7,2019-05-05 11:44:15
16,19010001,1,74120,3,107,2,3,0,108.00,0,0,0,1,7,2019-05-05 11:44:16
17,19010001,1,74120,4,92,1,3,0,100.00,0,0,0,1,6,2019-05-05 11:44:16
18,19010001,1,74120,5,101,2,3,0,111.00,0,0,0,1,8,2019-05-05 11:44:16
19,19010001,1,74120,6,111,2,3,0,111.00,0,0,0,1,8,2019-05-05 11:44:17
20,19010001,1,74120,7,126,1,3,0,110.00,0,0,0,1,9,2019-05-05 11:44:17
21,19010001,1,74120,8,89,1,3,0,104.00,0,0,0,1,6,2019-05-05 11:44:17
22,19010001,1,74120,9,106,1,3,0,103.00,0,0,0,1,5,2019-05-05 11:44:18
23,19010001,1,74120,10,125,1,3,0,115.00,0,0,1,1,9,2019-05-05 11:44:18
24,19010001,2,74120,11,,1,3,0,98.00,0,0,0,1,,2019-05-05 12:07:46
25,19010001,2,74120,12,,1,3,0,94.00,0,0,0,1,,2019-05-05 12:08:23
26,19010001,2,74120,13,,1,3,0,98.00,0,0,0,1,,2019-05-05 12:08:46
27,19010001,2,74120,14,,1,3,0,65.00,0,0,0,1,,2019-05-05 12:09:08
28,19010001,2,74120,15,,2,3,0,97.00,0,0,0,1,,2019-05-05 12:09:24
29,19010001,2,74120,16,,0,0,0,56.00,0,0,0,1,,2019-05-05 12:09:43
30,19010001,2,74120,17,,0,0,0,43.00,0,0,0,1,,2019-05-05 12:10:16
31,19010001,2,74120,18,,0,0,0,48.00,0,0,0,1,,2019-05-05 12:10:22
32,19010001,2,74120,19,,0,0,0,38.00,0,0,0,1,,2019-05-05 12:10:26
33,19010001,2,74120,20,,0,0,0,22.00,0,0,0,1,,2019-05-05 12:10:51
34,19010002,1,74120,1,95,2,3,0,104.00,0,0,0,1,8,2019-05-05 12:33:31
35,19010002,1,74120,2,126,1,3,0,113.00,0,0,0,1,9,2019-05-05 12:33:34
36,19010002,1,74120,3,109,1,3,0,120.00,0,0,136,1,10,2019-05-05 12:34:22
37,19010002,1,74120,4,147,2,3,0,120.00,0,0,2,1,11,2019-05-05 12:34:28
38,19010002,1,74120,5,113,1,4,0,110.00,0,0,0,1,8,2019-05-05 12:34:37
39,19010002,1,74120,6,140,2,3,0,113.00,0,0,0,1,9,2019-05-05 12:34:41
40,19010002,1,74120,7,192,1,3,0,134.00,1,0,0,1,13,2019-05-05 12:34:48
41,19010002,1,74120,8,128,1,3,0,114.00,0,0,0,1,9,2019-05-05 12:34:54
42,19010002,1,74120,9,117,1,3,0,110.00,0,0,0,1,8,2019-05-05 12:35:00
43,19010002,1,74120,10,138,1,3,0,116.00,0,0,0,1,9,2019-05-05 12:35:05
44,19010002,2,74120,11,,1,3,0,92.00,0,0,0,1,,2019-05-05 12:35:15
45,19010002,2,74120,12,,1,0,0,64.00,0,0,0,1,,2019-05-05 12:49:15
46,19010002,2,74120,13,,1,0,0,59.00,0,0,0,1,,2019-05-05 12:49:53
47,19010002,2,74120,14,,1,0,0,63.00,0,0,0,1,,2019-05-05 12:49:58
48,19010002,2,74120,15,,2,0,0,81.00,0,0,0,1,,2019-05-05 12:50:01
49,19010002,2,74120,16,,0,0,0,65.00,0,0,0,1,,2019-05-05 12:50:37
50,19010002,2,74120,17,,0,0,0,58.00,0,0,0,1,,2019-05-05 12:50:56
51,19010002,2,74120,18,,0,0,0,46.00,0,0,0,1,,2019-05-05 12:51:10
52,19010002,2,74120,19,,0,0,0,38.00,0,0,0,1,,2019-05-05 12:51:20
53,19010002,2,74120,20,,0,0,0,26.00,0,0,0,1,,2019-05-05 12:51:29
54,19010003,1,74120,1,230,1,3,0,135.00,0,0,0,1,16,2019-05-05 12:51:35
55,19010003,1,74120,2,151,1,3,0,120.00,0,0,0,1,10,2019-05-05 12:52:34
56,19010003,1,74120,3,176,2,3,0,130.00,1,1,1,1,15,2019-05-05 12:52:41
57,19010003,1,74120,4,213,1,3,0,129.00,0,1,1,1,16,2019-05-05 12:52:42
58,19010003,1,74120,5,171,1,3,0,122.00,0,0,1,1,10,2019-05-05 12:52:43
59,19010003,1,74120,6,180,1,3,0,125.00,0,0,0,1,13,2019-05-05 12:52:43
60,19010003,1,74120,7,185,2,3,0,126.00,0,0,0,1,12,2019-05-05 12:52:44
61,19010003,1,74120,8,160,2,3,1,124.00,0,0,0,1,11,2019-05-05 12:52:44
62,19010003,1,74120,9,116,2,3,0,111.00,0,0,5,1,9,2019-05-05 12:52:45
63,19010003,1,74120,10,117,2,3,0,111.00,0,0,0,1,7,2019-05-05 12:52:45
64,19010003,2,74120,11,,1,3,0,81.00,0,0,0,1,,2019-05-05 13:28:40
65,19010003,2,74120,12,,2,3,0,94.00,0,0,0,1,,2019-05-05 13:35:05
66,19010003,2,74120,13,,0,0,0,31.00,0,0,0,1,,2019-05-05 13:35:45
67,19010003,2,74120,14,,0,0,0,29.00,0,0,0,1,,2019-05-05 13:36:03
68,19010003,2,74120,15,,0,0,0,25.00,0,0,0,1,,2019-05-05 13:36:09
69,19010003,2,74120,16,,0,0,0,24.00,0,0,0,1,,2019-05-05 13:36:15
70,19010003,2,74120,17,,0,0,0,27.00,0,0,0,1,,2019-05-05 13:36:21
71,19010003,2,74120,18,,0,0,0,28.00,0,0,0,1,,2019-05-05 13:36:21
72,19010003,2,74120,19,,0,0,0,27.00,0,0,0,1,,2019-05-05 13:36:38
73,19010004,1,74120,1,219,2,3,0,136.00,0,1,0,1,12,2019-05-05 13:36:52
74,19010004,1,74120,2,108,1,3,1,112.00,0,0,0,1,9,2019-05-05 13:39:41
75,19010004,1,74120,3,109,1,3,1,107.00,0,0,0,1,6,2019-05-05 13:39:43
76,19010004,1,74120,4,89,2,3,0,106.00,0,0,0,1,5,2019-05-05 13:39:43
77,19010004,1,74120,5,110,2,3,0,106.00,0,0,0,1,8,2019-05-05 13:39:44
78,19010004,1,74120,6,109,1,3,0,109.00,0,0,0,1,8,2019-05-05 13:39:44
79,19010004,1,74120,7,105,1,3,0,105.00,0,0,0,1,7,2019-05-05 13:39:44
80,19010004,1,74120,8,100,1,3,0,106.00,0,0,0,1,8,2019-05-05 13:39:45
81,19010004,1,74120,9,83,1,3,0,105.00,0,0,0,1,6,2019-05-05 13:39:45
82,19010004,1,74120,10,87,1,3,0,102.00,0,0,0,1,6,2019-05-05 13:39:45
83,19010004,2,74120,11,,2,3,0,88.00,0,0,12,1,,2019-05-05 14:02:32
84,19010004,2,74120,12,,1,3,0,97.00,0,0,0,1,,2019-05-05 14:14:35
85,19010004,2,74120,13,,1,3,0,80.00,0,0,1,1,,2019-05-05 14:15:14
86,19010004,2,74120,14,,1,3,0,98.00,0,0,0,1,,2019-05-05 14:15:24
