Bed,Size,est,l95,u95
WK1,small,115079,63530,208458
WK1,large,1905931,1146202,3169227
YAK3,small,358876,236942,543558
YAK3,large,4250686,3338645,5411876
YAK4,small,349564,258650,472434
YAK4,large,2910977,2464774,3437958
YAK5,small,61588,35345,107316
YAK5,large,765030,568966,1028659
YAKB,small,3932,2583,5987
YAKB,large,399262,311957,511000
