Bed,Size,est,l95,u95
WK1,small,840254,619503,1461115
WK1,large,4827241,3483021,8372912
YAK3,small,4813146,3684562,8351053
YAK3,large,10494551,9277064,14721313
YAK4,small,5399349,4525748,7869417
YAK4,large,9138029,8231465,11467225
YAK5,small,820044,566134,1646902
YAK5,large,2295146,1936710,3333070
YAKB,small,78809,62893,122080
YAKB,large,635589,558320,862598
