Bed,0,1,2,N
WK1,0,0,32.4,145
WK1,0,67.6,0,145
YAK3,0.2,0,0,485
YAK3,0,0,44.9,485
YAK3,0,54.8,0,485
YAK4,0,0,45,371
YAK4,0,55,0,371
YAK5,0.7,0,0,152
YAK5,0,0,42.1,152
YAK5,0,57.2,0,152
YAKB,0,0,41.8,98
YAKB,0,58.2,0,98
