tow_id,count,wt_lb,Size,Bed,area_swept
19010001,26,2.5309037599999997,small,YAK4,0.0015009582
19010001,206,54.46293248,large,YAK4,0.0015009582
19010002,22,1.1838809399999999,small,YAK4,0.0015141245
19010002,200,60.31619858,large,YAK4,0.0015141245
19010003,17,0.4850163999999999,small,YAK4,0.0014482930000000002
19010003,100,37.94812406,large,YAK4,0.0014482930000000002
19010004,10,1.07364994,small,YAK4,0.0014087941000000001
19010004,344,87.69537435999999,large,YAK4,0.0014087941000000001
19010005,15,0.27998673999999996,small,YAK4,0.0013692952
19010005,46,17.936788319999998,large,YAK4,0.0013692952
19010006,4,0.033069299999999996,small,YAK4,0.0015009582
19010006,144,56.076714319999994,large,YAK4,0.0015009582
19010007,6,0.09479865999999998,small,YAK4,0.0016326212
19010007,48,17.42311186,large,YAK4,0.0016326212
19010009,17,2.13407216,small,YAK4,0.0015536234
19010009,129,35.70823014,large,YAK4,0.0015536234
19010010,8,0.03747854,small,YAK4,0.0014482930000000002
19010010,16,7.694123799999999,large,YAK4,0.0014482930000000002
19010011,0,0,small,YAK5,0.001184967
19010011,8,3.9242236,large,YAK5,0.001184967
19010012,4,0.6834321999999999,small,YAK5,0.0012507985
19010012,24,11.1994696,large,YAK5,0.0012507985
19010013,0,0,small,YAK5,0.0015141245
19010013,3,1.2919073199999997,large,YAK5,0.0015141245
19010014,64,2.9982832,small,YAK5,0.0014614593000000001
19010014,119,40.199041079999994,large,YAK5,0.0014614593000000001
19010015,54,2.1605275999999995,small,YAK5,0.0014482930000000002
19010015,116,43.819027119999994,large,YAK5,0.0014482930000000002
19010017,11,0.7694123799999999,small,YAK5,0.0014219604000000002
19010017,52,16.3803266,large,YAK5,0.0014219604000000002
19010018,5,0.13668644,small,YAK5,0.0014087941000000001
19010018,60,16.99982482,large,YAK5,0.0014087941000000001
19010019,18,2.46476516,small,YAK5,0.0014351267000000001
19010019,82,20.699177179999996,large,YAK5,0.0014351267000000001
19010020,5,1.2632472599999998,small,YAK4,0.0014219604000000002
19010020,34,10.7695687,large,YAK4,0.0014219604000000002
19010021,32,1.86951776,small,YAK4,0.0015141245
19010021,147,48.00560049999999,large,YAK4,0.0015141245
19010022,266,13.69950868,small,YAK4,0.0012902974
19010022,54,15.921765639999998,large,YAK4,0.0012902974
19010023,161,9.57686928,small,YAK4,0.0014482930000000002
19010023,126,35.348877079999994,large,YAK4,0.0014482930000000002
19010025,6,0.39242235999999997,small,YAK4,0.0013824615000000001
19010025,1,0.26234978,large,YAK4,0.0013824615000000001
19010026,176,13.871469039999997,small,YAK4,0.0012507985
19010026,72,20.234002359999998,large,YAK4,0.0012507985
19010027,106,7.23776746,small,YAK4,0.0013692952
19010027,109,36.19545116,large,YAK4,0.0013692952
19010028,13,0.28880522,small,YAK4,0.0012639648
19010028,178,60.60059456,large,YAK4,0.0012639648
19010029,108,4.435695439999999,small,YAK4,0.0014351267000000001
19010029,110,38.20165536,large,YAK4,0.0014351267000000001
19010030,119,5.780513639999999,small,YAK4,0.0013429626
19010030,28,8.48558238,large,YAK4,0.0013429626
19010031,14,0.6327259399999999,small,YAK4,0.0014614593000000001
19010031,126,51.081045399999994,large,YAK4,0.0014614593000000001
19010033,158,8.963984919999998,small,YAK4,0.0014351267000000001
19010033,33,11.221515799999999,large,YAK4,0.0014351267000000001
19010034,79,7.385476999999999,small,YAK4,0.0014351267000000001
19010034,128,47.31555443999999,large,YAK4,0.0014351267000000001
19010035,202,13.331337139999999,small,YAK4,0.0012507985
19010035,126,42.76742338,large,YAK4,0.0012507985
19010036,10,0.9523958399999999,small,YAK4,0.0013297963000000002
19010036,107,23.10882684,large,YAK4,0.0013297963000000002
19010037,9,1.61819108,small,YAK4,0.0014482930000000002
19010037,137,36.97809125999999,large,YAK4,0.0014482930000000002
19010038,15,1.5211877999999996,small,YAK4,0.0012771311
19010038,103,28.999571479999997,large,YAK4,0.0012771311
19010039,91,6.27434852,small,YAK4,0.0012771311
19010039,46,16.411191279999997,large,YAK4,0.0012771311
19010041,35,5.3902959,small,YAK4,0.0013824615000000001
19010041,70,17.42972572,large,YAK4,0.0013824615000000001
19010042,23,1.9158147799999998,small,YAK4,0.0014746256000000002
19010042,93,26.812588439999995,large,YAK4,0.0014746256000000002
19010043,121,6.62047386,small,YAK4,0.0015009582
19010043,96,30.558237819999995,large,YAK4,0.0015009582
19010044,0,0,small,YAK4,0.001184967
19010044,1,0.18518808,large,YAK4,0.001184967
19010045,8,0.09920789999999999,small,YAK4,0.0013824615000000001
19010045,28,10.317621599999999,large,YAK4,0.0013824615000000001
19010046,0,0,small,YAK4,0.0014219604000000002
19010046,14,6.25891618,large,YAK4,0.0014219604000000002
19010047,0,0,small,YAK4,0.0013956278
19010047,6,2.5397222399999997,large,YAK4,0.0013956278
19010049,1,0.16534649999999998,small,YAK5,0.001184967
19010049,0,0,large,YAK5,0.001184967
19010050,119,8.88020936,small,YAK5,0.0012507985
19010050,39,13.340155619999999,large,YAK5,0.0012507985
19010051,5,1.51236932,small,YAK5,0.001184967
19010051,140,44.592848739999994,large,YAK5,0.001184967
19010052,5,0.31966989999999995,small,YAK5,0.0012507985
19010052,15,5.903972359999999,large,YAK5,0.0012507985
19010053,16,2.04588736,small,YAK5,0.0013824615000000001
19010053,23,9.909766899999997,large,YAK5,0.0013824615000000001
19010054,8,0.8972803399999999,small,YAK5,0.0014482930000000002
19010054,65,16.9094354,large,YAK5,0.0014482930000000002
19010055,0,0,small,YAK5,0.0012902974
19010055,1,0.4541517199999999,large,YAK5,0.0012902974
19010057,0,0,small,YAK5,0.0012507985
19010057,14,6.76377416,large,YAK5,0.0012507985
19010058,7,0.49824411999999996,small,YAK5,0.0012902974
19010058,91,26.349618239999998,large,YAK5,0.0012902974
19010059,0,0,small,YAK5,0.001184967
19010059,34,15.383838359999999,large,YAK5,0.001184967
19010060,1,0.00220462,small,YAK5,0.0011059692
19010060,0,0,large,YAK5,0.0011059692
19010061,0,0,small,YAK4,0.0012244659000000002
19010061,4,2.2487124,large,YAK4,0.0012244659000000002
19010062,9,1.1243562,small,YAK4,0.00131663
19010062,19,6.591813799999999,large,YAK4,0.00131663
19010063,11,1.0604222199999997,small,YAK4,0.0014482930000000002
19010063,17,6.878414399999999,large,YAK4,0.0014482930000000002
19010065,0,0,small,YAK4,0.0012902974
19010065,35,17.068168039999996,large,YAK4,0.0012902974
19010066,5,0.1433003,small,YAK4,0.0012376322
19010066,55,25.73673388,large,YAK4,0.0012376322
19010067,6,0.48281177999999997,small,YAK4,0.0014746256000000002
19010067,19,7.70073766,large,YAK4,0.0014746256000000002
19010068,3,0.16093725999999997,small,YAK3,0.001184967
19010068,54,25.49422568,large,YAK3,0.001184967
19010069,6,0.46958405999999997,small,YAK3,0.0012902974
19010069,19,7.052579379999999,large,YAK3,0.0012902974
19010070,4,0.24250819999999998,small,YAK3,0.0012112996
19010070,3,0.9369634999999998,large,YAK3,0.0012112996
19010071,4,0.12786796,small,YAK3,0.0012112996
19010071,16,5.994361779999999,large,YAK3,0.0012112996
19010073,0,0,small,YAK3,0.0012507985
19010073,37,17.60168608,large,YAK3,0.0012507985
19010074,10,1.2345872,small,YAK3,0.0012376322
19010074,87,34.98952402,large,YAK3,0.0012376322
19010075,0,0,small,YAK3,0.001184967
19010075,87,39.689773859999995,large,YAK3,0.001184967
19010076,1,0.18518808,small,YAK3,0.0012639648
19010076,16,6.807866559999999,large,YAK3,0.0012639648
19010077,0,0,small,YAK3,0.001184967
