Bed,tows,est,se,cv,l95,u95
WK1,16,126477,46095,0.36445064409963857,20200,633375
YAK3,54,312839,68307,0.218346350440084,80601,1458103
YAK4,40,225227,34067,0.1512564958760371,74504,620258
YAK5,19,60183,12046,0.2001581931563743,27401,163552
YAKB,11,26823,5137,0.19149706382630519,11047,55239
