Bed,N,Immature,Empty,Init. Recovery,Filling,Full,Unknown
WK1,233,6.9,0,8.2,85,0,0
YAK3,826,14.5,0.1,16.4,68.8,0,0.1
YAK4,684,23.2,0.3,9.4,67,0.1,0
YAK5,246,16.3,2.4,13.4,67.9,0,0
YAKB,127,14.2,0,0,85.8,0,0
