Bed,Area,Tows,Size,Catch,CatchRate,CV
WK1,48.66,16,small,307,14332.317778825456,38
WK1,48.66,16,large,1778,82338.8763934371,38
YAK3,167.46,54,small,1734,23855.91505860163,32
YAK3,167.46,54,large,3722,52015.27245864396,19
YAK4,127.51,40,small,1913,35145.94999381296,23
YAK4,127.51,40,large,3355,59482.11144670902,13
YAK5,54.86,19,small,318,12406.797546286998,45
YAK5,54.86,19,large,886,34724.22896720932,23
YAKB,33.36,11,small,29,1960.7722518784815,30
YAKB,33.36,11,large,233,15813.526135472037,20
