Bed,N,0%,1-24%,25-49%,50-74%,75-100%
WK1,233,97.9,2.1,0,0,0
YAK3,827,79.3,20.4,0.2,0,0
YAK4,682,89.6,9.8,0.3,0.3,0
YAK5,246,78.5,21.5,0,0,0
YAKB,127,64.6,35.4,0,0,0
